LINE - 13 : [ 2025-11-14 01:42:28,949 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [47] error message [Failed to connect to mongodb!!]]
LINE - 23 : [ 2025-11-14 01:42:56,051 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:42:56,969 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [45] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:42:56,969 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [45] error message [Failed to connect to mongodb!!]]
LINE - 23 : [ 2025-11-14 01:44:11,544 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:44:12,510 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [45] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:44:12,510 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [45] error message [Failed to connect to mongodb!!]]
LINE - 23 : [ 2025-11-14 01:44:52,302 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 50 : [ 2025-11-14 01:45:02,330 ] Mongodb_connection - INFO - Inserted document into 'test-collection' collection.
LINE - 51 : [ 2025-11-14 01:45:02,330 ] Mongodb_connection - INFO - Inserted document into 'submit-collection' collection.
LINE - 56 : [ 2025-11-14 01:45:02,331 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 23 : [ 2025-11-14 01:45:33,656 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 01:45:34,335 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 23 : [ 2025-11-14 01:48:52,047 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 01:48:53,161 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 23 : [ 2025-11-14 01:49:16,905 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 01:49:17,689 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 23 : [ 2025-11-14 01:49:40,937 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 01:49:41,600 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 13 : [ 2025-11-14 01:49:41,601 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [21] error message [Failed to Fetch Data!!]
LINE - 23 : [ 2025-11-14 01:50:07,980 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 01:50:08,615 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 13 : [ 2025-11-14 01:50:08,615 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [21] error message [Failed to Fetch Data!!]
LINE - 23 : [ 2025-11-14 01:50:39,293 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 01:50:40,057 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 28 : [ 2025-11-14 01:50:40,058 ] Fake news Data - INFO - Fetching Data from mongoDb...
